,Ticker
1043,ORIENTELEC
1044,GREENPOWER
1045,ORIENTPPR
1046,ORIENTLTD
1047,OAL
1048,OCCL
1049,ORIENTHOT
1050,ORIENTALTL
1051,ORTEL
1052,OSIAHYPER
1053,OSWALAGRO
1054,BINDALAGRO
1055,PAGEIND
1056,PAISALO
1057,PALASHSECU
1058,PALREDTEC
1059,PANACEABIO
1060,PANACHE
1061,PANAMAPET
1062,PANSARI
1063,PAR
1064,PARAGMILK
1065,PARACABLES
1066,PARSVNATH
1067,PASHUPATI
1068,PATELENG
1069,PATINTLOG
1070,PCJEWELLER
1071,PGIL
1072,PEARLPOLY
1073,PENINLAND
1074,PENIND
1075,PERFECT
1076,PERSISTENT
1077,PETRONET
1078,PFIZER
1079,PGEL
1080,PIIND
1081,PIDILITIND
1082,PILITA
1083,PILANIINVS
1084,PIONDIST
1085,PIONEEREMB
1086,PEL
1087,PITTIENG
1088,PLASTIBLEN
1089,PNBGILTS
1090,PNBHOUSING
1091,PNCINFRA
1092,PODDARHOUS
1093,PODDARMENT
1094,POKARNA
1095,POLYMED
1096,POLYCAB
1097,POLYPLEX
1098,PONNIERODE
1099,PIGL
1100,PFC
1101,POWERGRID
1102,POWERMECH
1103,PPAP
1104,PRADIP
1105,PRAJIND
1106,PRAENG
1107,PRAKASH
1108,PPL
1109,PRAKASHSTL
1110,DIAMONDYD
1111,PRAXIS
1112,PRECAM
1113,PRECWIRE
1114,PRECOT
1115,PREMEXPLN
1116,PREMIER
1117,PREMIERPOL
1118,PRESSMN
1119,PRESTIGE
1120,PRICOLLTD
1121,PFOCUS
1122,PRIMESECU
1123,PRINCEPIPE
1124,PRSMJOHNSN
1125,PRITI
1126,PNC
1127,PGHL
1128,PGHH
1129,PROSEED
1130,PROZONINTU
1131,PSL
1132,PSPPROJECT
1133,PFS
1134,PTC
1135,PTL
1136,PDMJEPAPER
1137,PUNJLLOYD
1138,PSB
1139,PUNJABCHEM
1140,PNB
1141,PURVA
1142,PVR
1143,QUESS
1144,QUICKHEAL
1145,RSYSTEMS
1146,RSSOFTWARE
1147,RPPINFRA
1148,RADAAN
1149,RMCL
1150,RADICO
1151,RVNL
1152,RAIN
1153,RAJRAYON
1154,RAJTV
1155,ARENTERP
1156,RAJESHEXPO
1157,RAJMET
1158,RPPL
1159,RAJSREESUG
1160,RALLIS
1161,RAMASTEEL
1162,RAMCOIND
1163,RAMCOSYS
1164,RKFORGE
1165,RAMKY
1166,RAMSARUP
1167,RANASUG
1168,RML
1169,RBL
1170,RANEENGINE
1171,RANEHOLDIN
1172,RCF
1173,RATNAMANI
1174,RTNPOWER
1175,RKDL
1176,RAYMOND
1177,RBLBANK
1178,RECLTD
1179,REDINGTON
1180,REFEX
1181,RELAXO
1182,RELIABLE
1183,RELCAPITAL
1184,RCOM
1185,RHFL
1186,RIIL
1187,RELIANCE
1188,RELINFRA
1189,RNAVAL
1190,RPOWER
1191,RELIGARE
1192,REMSONSIND
1193,RGL
1194,REPCOHOME
1195,REPRO
1196,RESPONIND
1197,REVATHI
1198,RICOAUTO
1199,RITES
1200,RKEC
1201,ROLLT
1202,ROLTA
1203,ROSSARI
1204,ROSSELLIND
1205,ROUTE
1206,ROHLTD
1207,RPGLIFE
1208,RSWM
1209,RUCHINFRA
1210,RUCHIRA
1211,REPL
1212,RUPA
1213,RUSHIL
1214,SCHAND
1215,SHK
1216,S&SPOWER
1217,SPAL
1218,SALSTEEL
1219,SEPOWER
1220,SSINFRA
1221,SABEVENTS
1222,SADBHAV
1223,SADBHIN
1224,SAFARI
1225,SAGCEM
1226,SAGARDEEP
1227,SAKAR
1228,SAKSOFT
1229,SAKHTISUG
1230,SAKUMA
1231,SALASAR
1232,SALONA
1233,SALZERELEC
1234,SAMBHAAV
1235,SANCO
1236,SANDHAR
1237,SANGAMIND
1238,SANGHIIND
1239,SANGHVIMOV
1240,SANGINITA
1241,SANOFI
1242,SANWARIA
1243,SARDAEN
1244,SAREGAMA
1245,SARLAPOLY
1246,SARVESHWAR
1247,SASKEN
1248,SASTASUNDR
1249,SATHAISPAT
1250,SATIA
1251,SATIN
1252,SOTL
1253,SBICARD
1254,SBILIFE
1255,SCHAEFFLER
